epoch,lr,train_loss,val_loss,val_iou,val_acc025,val_acc050
0,4.000000e-04,0.069654,0.078088,0.1647,0.2029,0.0048
1,6.000000e-04,0.062528,0.062422,nan,nan,nan
2,8.000000e-04,0.062775,0.060623,nan,nan,nan
3,1.000000e-03,0.064241,0.060050,nan,nan,nan
4,1.000000e-03,0.065756,0.061504,nan,nan,nan
5,9.995614e-04,0.063703,0.060906,0.2534,0.4783,0.0531
6,9.982464e-04,0.063000,0.057131,nan,nan,nan
7,9.960574e-04,0.061974,0.058374,nan,nan,nan
8,9.929980e-04,0.061621,0.060107,nan,nan,nan
9,9.890738e-04,0.060610,0.060033,nan,nan,nan
10,9.842916e-04,0.061307,0.060398,0.2468,0.4879,0.0338
11,9.786597e-04,0.059136,0.057730,nan,nan,nan
12,9.721882e-04,0.058620,0.055549,nan,nan,nan
13,9.648882e-04,0.058226,0.053011,nan,nan,nan
14,9.567727e-04,0.056618,0.053101,nan,nan,nan
15,9.478559e-04,0.057102,0.054433,0.2720,0.5411,0.1063
16,9.381533e-04,0.056610,0.055052,nan,nan,nan
17,9.276821e-04,0.056487,0.054834,nan,nan,nan
18,9.164606e-04,0.055801,0.053404,nan,nan,nan
19,9.045085e-04,0.054936,0.053134,nan,nan,nan
20,8.918467e-04,0.054570,0.052854,0.2843,0.5459,0.0580
21,8.784975e-04,0.054323,0.052817,nan,nan,nan
22,8.644843e-04,0.054323,0.050809,nan,nan,nan
23,8.498317e-04,0.053186,0.053920,nan,nan,nan
24,8.345653e-04,0.053433,0.052162,nan,nan,nan
25,8.187120e-04,0.053153,0.050516,0.3183,0.6377,0.1498
26,8.022996e-04,0.053110,0.051631,nan,nan,nan
27,7.853568e-04,0.052618,0.049864,nan,nan,nan
28,7.679134e-04,0.052234,0.050126,nan,nan,nan
29,7.500000e-04,0.051436,0.050931,nan,nan,nan
30,7.316480e-04,0.051985,0.050196,0.3313,0.6667,0.1836
31,7.128896e-04,0.051971,0.051485,nan,nan,nan
32,6.937578e-04,0.051574,0.048490,nan,nan,nan
33,6.742860e-04,0.051203,0.048741,nan,nan,nan
34,6.545085e-04,0.050573,0.049540,nan,nan,nan
35,6.344599e-04,0.051121,0.048380,0.3461,0.6812,0.2271
36,6.141754e-04,0.051093,0.047897,nan,nan,nan
37,5.936907e-04,0.051160,0.049624,nan,nan,nan
38,5.730415e-04,0.050490,0.048482,nan,nan,nan
39,5.522642e-04,0.049648,0.047779,nan,nan,nan
40,5.313953e-04,0.050405,0.048693,0.3347,0.6812,0.1787
41,5.104712e-04,0.049724,0.048990,nan,nan,nan
42,4.895288e-04,0.050016,0.048475,nan,nan,nan
43,4.686047e-04,0.049250,0.047698,nan,nan,nan
44,4.477358e-04,0.049241,0.047477,nan,nan,nan
45,4.269585e-04,0.049259,0.047398,0.3479,0.6522,0.2126
46,4.063093e-04,0.049106,0.046741,nan,nan,nan
47,3.858246e-04,0.048957,0.046827,nan,nan,nan
48,3.655401e-04,0.048675,0.046921,nan,nan,nan
49,3.454915e-04,0.047534,0.046142,nan,nan,nan
50,3.257140e-04,0.048474,0.046648,0.3487,0.6570,0.2174
51,3.062422e-04,0.048140,0.047028,nan,nan,nan
52,2.871104e-04,0.047766,0.046169,nan,nan,nan
53,2.683520e-04,0.047912,0.047031,nan,nan,nan
54,2.500000e-04,0.048482,0.046282,nan,nan,nan
55,2.320866e-04,0.047833,0.046482,0.3541,0.6522,0.2464
56,2.146432e-04,0.047280,0.045849,nan,nan,nan
57,1.977004e-04,0.046977,0.045926,nan,nan,nan
58,1.812880e-04,0.047595,0.046028,nan,nan,nan
59,1.654347e-04,0.047001,0.045516,nan,nan,nan
60,1.501683e-04,0.046762,0.045556,0.3642,0.6763,0.2319
61,1.355157e-04,0.047116,0.045676,nan,nan,nan
62,1.215025e-04,0.046480,0.044674,nan,nan,nan
63,1.081533e-04,0.046541,0.044789,nan,nan,nan
64,9.549150e-05,0.046260,0.045226,nan,nan,nan
65,8.353938e-05,0.045798,0.044465,0.3681,0.7053,0.2802
66,7.231787e-05,0.046234,0.044838,nan,nan,nan
67,6.184666e-05,0.046345,0.044450,nan,nan,nan
68,5.214412e-05,0.045868,0.044839,nan,nan,nan
69,4.322727e-05,0.046292,0.044757,nan,nan,nan
70,3.511176e-05,0.046039,0.044617,0.3624,0.6908,0.2512
71,2.781181e-05,0.045768,0.044799,nan,nan,nan
72,2.134025e-05,0.045429,0.044430,nan,nan,nan
73,1.570842e-05,0.046020,0.044458,nan,nan,nan
74,1.092620e-05,0.045939,0.044414,nan,nan,nan
75,7.001981e-06,0.045559,0.044479,0.3715,0.6957,0.2754
76,3.942649e-06,0.045844,0.044340,nan,nan,nan
77,1.753570e-06,0.045936,0.044277,nan,nan,nan
78,4.385850e-07,0.045296,0.044390,nan,nan,nan
79,0.000000e+00,0.046317,0.044318,0.3645,0.6860,0.2705
