epoch,lr,train_loss,val_loss,val_iou,val_acc025,val_acc050
0,4.000000e-04,0.055687,0.072973,0.1375,0.1304,0.0048
1,6.000000e-04,0.051527,0.055292,nan,nan,nan
2,8.000000e-04,0.053292,0.056855,nan,nan,nan
3,1.000000e-03,0.055342,0.057879,nan,nan,nan
4,1.000000e-03,0.055196,0.056902,nan,nan,nan
5,9.995614e-04,0.054898,0.051764,0.2942,0.6039,0.0628
6,9.982464e-04,0.054205,0.052554,nan,nan,nan
7,9.960574e-04,0.053398,0.054491,nan,nan,nan
8,9.929980e-04,0.052842,0.050546,nan,nan,nan
9,9.890738e-04,0.051531,0.051629,nan,nan,nan
10,9.842916e-04,0.051814,0.052704,0.2992,0.5990,0.1159
11,9.786597e-04,0.051163,0.049454,nan,nan,nan
12,9.721882e-04,0.050594,0.052546,nan,nan,nan
13,9.648882e-04,0.049630,0.051919,nan,nan,nan
14,9.567727e-04,0.049793,0.048972,nan,nan,nan
15,9.478559e-04,0.048396,0.047627,0.3198,0.6425,0.1304
16,9.381533e-04,0.048013,0.049043,nan,nan,nan
17,9.276821e-04,0.048573,0.048463,nan,nan,nan
18,9.164606e-04,0.047737,0.046480,nan,nan,nan
19,9.045085e-04,0.046989,0.045970,nan,nan,nan
20,8.918467e-04,0.046901,0.046738,0.3355,0.6570,0.2126
21,8.784975e-04,0.046758,0.046886,nan,nan,nan
22,8.644843e-04,0.046359,0.047723,nan,nan,nan
23,8.498317e-04,0.046124,0.045252,nan,nan,nan
24,8.345653e-04,0.045716,0.046362,nan,nan,nan
25,8.187120e-04,0.045673,0.045124,0.3517,0.7053,0.2077
26,8.022996e-04,0.045251,0.044145,nan,nan,nan
27,7.853568e-04,0.044815,0.045417,nan,nan,nan
28,7.679134e-04,0.044859,0.044126,nan,nan,nan
29,7.500000e-04,0.044782,0.044092,nan,nan,nan
30,7.316480e-04,0.044173,0.044363,0.3613,0.7101,0.2319
31,7.128896e-04,0.044310,0.045827,nan,nan,nan
32,6.937578e-04,0.044491,0.043902,nan,nan,nan
33,6.742860e-04,0.043897,0.042985,nan,nan,nan
34,6.545085e-04,0.043900,0.043877,nan,nan,nan
35,6.344599e-04,0.043678,0.044179,0.3535,0.7005,0.2126
36,6.141754e-04,0.043389,0.042977,nan,nan,nan
37,5.936907e-04,0.043242,0.043348,nan,nan,nan
38,5.730415e-04,0.043347,0.043548,nan,nan,nan
39,5.522642e-04,0.043677,0.043859,nan,nan,nan
40,5.313953e-04,0.043867,0.043819,0.3449,0.6570,0.2609
41,5.104712e-04,0.043343,0.043456,nan,nan,nan
42,4.895288e-04,0.043213,0.041997,nan,nan,nan
43,4.686047e-04,0.042852,0.042755,nan,nan,nan
44,4.477358e-04,0.042727,0.042500,nan,nan,nan
45,4.269585e-04,0.042684,0.042989,0.3637,0.6957,0.2464
46,4.063093e-04,0.042990,0.042655,nan,nan,nan
47,3.858246e-04,0.042003,0.041575,nan,nan,nan
48,3.655401e-04,0.042035,0.042075,nan,nan,nan
49,3.454915e-04,0.042026,0.041851,nan,nan,nan
50,3.257140e-04,0.041977,0.042087,0.3744,0.7101,0.2657
51,3.062422e-04,0.041825,0.041168,nan,nan,nan
52,2.871104e-04,0.041577,0.042388,nan,nan,nan
53,2.683520e-04,0.041802,0.041595,nan,nan,nan
54,2.500000e-04,0.041174,0.041582,nan,nan,nan
55,2.320866e-04,0.041397,0.042186,0.3821,0.7295,0.3333
56,2.146432e-04,0.041052,0.041019,nan,nan,nan
57,1.977004e-04,0.041188,0.041375,nan,nan,nan
58,1.812880e-04,0.041180,0.041421,nan,nan,nan
59,1.654347e-04,0.040865,0.041164,nan,nan,nan
60,1.501683e-04,0.040684,0.040899,0.3961,0.7198,0.3575
61,1.355157e-04,0.040169,0.041185,nan,nan,nan
62,1.215025e-04,0.040370,0.041125,nan,nan,nan
63,1.081533e-04,0.040849,0.041003,nan,nan,nan
64,9.549150e-05,0.040542,0.040596,nan,nan,nan
65,8.353938e-05,0.040442,0.041083,0.3921,0.7198,0.3333
66,7.231787e-05,0.040453,0.040500,nan,nan,nan
67,6.184666e-05,0.040154,0.040175,nan,nan,nan
68,5.214412e-05,0.039470,0.040396,nan,nan,nan
69,4.322727e-05,0.039772,0.040156,nan,nan,nan
70,3.511176e-05,0.040182,0.040518,0.3994,0.7246,0.3623
71,2.781181e-05,0.039740,0.040173,nan,nan,nan
72,2.134025e-05,0.040017,0.040109,nan,nan,nan
73,1.570842e-05,0.039662,0.040488,nan,nan,nan
74,1.092620e-05,0.039441,0.040153,nan,nan,nan
75,7.001981e-06,0.039751,0.040105,0.3999,0.7440,0.3527
76,3.942649e-06,0.039701,0.040086,nan,nan,nan
77,1.753570e-06,0.040426,0.040089,nan,nan,nan
78,4.385850e-07,0.040192,0.040241,nan,nan,nan
79,0.000000e+00,0.039920,0.040355,0.3986,0.7246,0.3478
