epoch,lr,train_loss,train_corner,train_center,train_size,val_loss,val_iou,val_acc025,val_acc050,val_corner_mm,val_center_mm,val_rot_deg
0,4.000000e-04,0.062188,0.027326,0.016023,0.037680,0.064526,0.2070,0.3382,0.0290,59.54,36.04,21.67
1,6.000000e-04,0.061376,0.027037,0.017557,0.033565,0.062107,nan,nan,nan,nan,nan,nan
2,8.000000e-04,0.061267,0.027295,0.018550,0.030845,0.061267,nan,nan,nan,nan,nan,nan
3,1.000000e-03,0.061768,0.027444,0.019339,0.029971,0.058162,nan,nan,nan,nan,nan,nan
4,1.000000e-03,0.061341,0.027370,0.019884,0.028175,0.058903,nan,nan,nan,nan,nan,nan
5,9.995614e-04,0.058274,0.026158,0.018444,0.027344,0.056396,0.2518,0.4928,0.0435,54.22,37.14,21.36
6,9.982464e-04,0.057419,0.025695,0.018005,0.027440,0.056706,nan,nan,nan,nan,nan,nan
7,9.960574e-04,0.056112,0.025236,0.017589,0.026575,0.055632,nan,nan,nan,nan,nan,nan
8,9.929980e-04,0.055840,0.025141,0.017476,0.026447,0.052518,nan,nan,nan,nan,nan,nan
9,9.890738e-04,0.054204,0.024563,0.016476,0.026329,0.051396,nan,nan,nan,nan,nan,nan
10,9.842916e-04,0.053289,0.024138,0.016219,0.025863,0.053853,0.2689,0.5556,0.0918,52.88,35.38,21.44
11,9.786597e-04,0.053596,0.024309,0.016310,0.025953,0.051720,nan,nan,nan,nan,nan,nan
12,9.721882e-04,0.051368,0.023391,0.014821,0.026310,0.053569,nan,nan,nan,nan,nan,nan
13,9.648882e-04,0.053246,0.024115,0.016063,0.026138,0.050971,nan,nan,nan,nan,nan,nan
14,9.567727e-04,0.052115,0.023702,0.015347,0.026134,0.051574,nan,nan,nan,nan,nan,nan
15,9.478559e-04,0.050789,0.023139,0.014843,0.025614,0.050246,0.2896,0.5990,0.1256,49.45,30.11,21.49
16,9.381533e-04,0.049186,0.022503,0.013912,0.025540,0.051988,nan,nan,nan,nan,nan,nan
17,9.276821e-04,0.049442,0.022638,0.013869,0.025870,0.047542,nan,nan,nan,nan,nan,nan
