epoch,lr,train_loss,train_corner,train_center,train_size,val_loss,val_iou,val_acc025,val_acc050,val_corner_mm,val_center_mm,val_rot_deg
0,4.000000e-04,0.053576,0.024191,0.013526,0.031717,0.077659,0.0809,0.0290,0.0000,68.38,40.56,21.44
1,6.000000e-04,0.049567,0.022664,0.014055,0.025696,0.051063,nan,nan,nan,nan,nan,nan
2,8.000000e-04,0.051101,0.023235,0.015166,0.025401,0.052035,nan,nan,nan,nan,nan,nan
3,1.000000e-03,0.052925,0.023984,0.016240,0.025402,0.051079,nan,nan,nan,nan,nan,nan
4,1.000000e-03,0.052535,0.023812,0.016034,0.025378,0.051272,nan,nan,nan,nan,nan,nan
5,9.995614e-04,0.052547,0.023865,0.016238,0.024889,0.051738,0.3035,0.6280,0.1159,50.50,32.90,21.19
6,9.982464e-04,0.051167,0.023101,0.015251,0.025629,0.052137,nan,nan,nan,nan,nan,nan
7,9.960574e-04,0.051984,0.023615,0.015967,0.024803,0.053003,nan,nan,nan,nan,nan,nan
8,9.929980e-04,0.052385,0.023644,0.016227,0.025027,0.049622,nan,nan,nan,nan,nan,nan
9,9.890738e-04,0.049515,0.022548,0.014462,0.025009,0.051231,nan,nan,nan,nan,nan,nan
10,9.842916e-04,0.051144,0.023234,0.015548,0.024726,0.053555,0.2951,0.5797,0.1208,52.60,31.56,21.46
11,9.786597e-04,0.048121,0.021896,0.013845,0.024760,0.047963,nan,nan,nan,nan,nan,nan
12,9.721882e-04,0.048027,0.021942,0.013518,0.025132,0.048919,nan,nan,nan,nan,nan,nan
13,9.648882e-04,0.048211,0.021878,0.014174,0.024317,0.047283,nan,nan,nan,nan,nan,nan
14,9.567727e-04,0.046836,0.021399,0.013357,0.024160,0.048235,nan,nan,nan,nan,nan,nan
15,9.478559e-04,0.045789,0.021011,0.012709,0.024138,0.047816,0.3104,0.6570,0.1401,47.06,29.30,21.01
16,9.381533e-04,0.045620,0.020929,0.012681,0.024021,0.046629,nan,nan,nan,nan,nan,nan
17,9.276821e-04,0.045370,0.020894,0.012522,0.023908,0.045281,nan,nan,nan,nan,nan,nan
18,9.164606e-04,0.046127,0.021045,0.012876,0.024411,0.047742,nan,nan,nan,nan,nan,nan
19,9.045085e-04,0.045025,0.020693,0.012403,0.023858,0.044313,nan,nan,nan,nan,nan,nan
20,8.918467e-04,0.045229,0.020646,0.012570,0.024026,0.045602,0.3362,0.6763,0.1691,45.54,27.88,20.81
21,8.784975e-04,0.043412,0.020064,0.011835,0.023028,0.043128,nan,nan,nan,nan,nan,nan
22,8.644843e-04,0.043356,0.020081,0.011763,0.023024,0.045263,nan,nan,nan,nan,nan,nan
23,8.498317e-04,0.043642,0.020067,0.011718,0.023714,0.045249,nan,nan,nan,nan,nan,nan
24,8.345653e-04,0.044229,0.020446,0.012215,0.023138,0.042363,nan,nan,nan,nan,nan,nan
25,8.187120e-04,0.042524,0.019757,0.011350,0.022834,0.043201,0.3712,0.7343,0.2464,44.08,25.14,20.94
26,8.022996e-04,0.042677,0.019658,0.011651,0.022736,0.046933,nan,nan,nan,nan,nan,nan
27,7.853568e-04,0.043288,0.020073,0.011763,0.022904,0.043101,nan,nan,nan,nan,nan,nan
28,7.679134e-04,0.042360,0.019610,0.011410,0.022680,0.042127,nan,nan,nan,nan,nan,nan
29,7.500000e-04,0.042079,0.019551,0.011095,0.022867,0.042162,nan,nan,nan,nan,nan,nan
