epoch,lr,train_loss,train_corner,train_center,train_size,val_loss,val_iou,val_acc025,val_acc050,val_corner_mm,val_center_mm,val_rot_deg
0,4.000000e-04,0.058281,0.025936,0.015174,0.034342,0.079589,0.0809,0.0290,0.0000,69.89,44.42,22.04
1,6.000000e-04,0.055358,0.024691,0.015991,0.029351,0.060057,nan,nan,nan,nan,nan,nan
2,8.000000e-04,0.056286,0.025091,0.017036,0.028318,0.061496,nan,nan,nan,nan,nan,nan
3,1.000000e-03,0.058087,0.025852,0.017742,0.028987,0.065222,nan,nan,nan,nan,nan,nan
4,1.000000e-03,0.059854,0.026594,0.018892,0.028735,0.057763,nan,nan,nan,nan,nan,nan
5,9.995614e-04,0.059133,0.026513,0.018523,0.028192,0.058318,0.2415,0.4541,0.0628,55.40,37.48,21.80
6,9.982464e-04,0.057310,0.025558,0.017785,0.027933,0.055185,nan,nan,nan,nan,nan,nan
7,9.960574e-04,0.056579,0.025319,0.017206,0.028108,0.057507,nan,nan,nan,nan,nan,nan
8,9.929980e-04,0.056745,0.025232,0.017320,0.028387,0.054405,nan,nan,nan,nan,nan,nan
9,9.890738e-04,0.056249,0.025038,0.017154,0.028114,0.057201,nan,nan,nan,nan,nan,nan
10,9.842916e-04,0.055851,0.024975,0.016743,0.028266,0.056307,0.2951,0.5749,0.1256,53.77,35.45,21.72
11,9.786597e-04,0.054639,0.024426,0.016010,0.028405,0.059034,nan,nan,nan,nan,nan,nan
12,9.721882e-04,0.054392,0.024440,0.016011,0.027884,0.055476,nan,nan,nan,nan,nan,nan
13,9.648882e-04,0.053553,0.024061,0.015525,0.027934,0.053546,nan,nan,nan,nan,nan,nan
14,9.567727e-04,0.052715,0.023631,0.015064,0.028041,0.054888,nan,nan,nan,nan,nan,nan
15,9.478559e-04,0.051487,0.023189,0.014619,0.027358,0.052254,0.3230,0.6184,0.1691,50.32,31.99,21.58
16,9.381533e-04,0.051199,0.023104,0.014529,0.027132,0.054397,nan,nan,nan,nan,nan,nan
17,9.276821e-04,0.050975,0.022982,0.014320,0.027346,0.054731,nan,nan,nan,nan,nan,nan
18,9.164606e-04,0.050374,0.022743,0.014108,0.027048,0.053220,nan,nan,nan,nan,nan,nan
19,9.045085e-04,0.050820,0.022964,0.014385,0.026941,0.054045,nan,nan,nan,nan,nan,nan
20,8.918467e-04,0.051095,0.023009,0.014521,0.027130,0.053529,0.2921,0.5507,0.1401,51.42,32.08,21.57
21,8.784975e-04,0.049550,0.022416,0.013768,0.026733,0.052135,nan,nan,nan,nan,nan,nan
22,8.644843e-04,0.048731,0.022146,0.013382,0.026407,0.051693,nan,nan,nan,nan,nan,nan
23,8.498317e-04,0.048613,0.021992,0.013410,0.026421,0.049730,nan,nan,nan,nan,nan,nan
24,8.345653e-04,0.048759,0.022095,0.013705,0.025916,0.051075,nan,nan,nan,nan,nan,nan
25,8.187120e-04,0.048107,0.021839,0.013262,0.026011,0.051135,0.3253,0.6377,0.1594,49.55,32.34,20.74
26,8.022996e-04,0.048151,0.021838,0.013345,0.025935,0.051662,nan,nan,nan,nan,nan,nan
27,7.853568e-04,0.047884,0.021650,0.013183,0.026102,0.049525,nan,nan,nan,nan,nan,nan
28,7.679134e-04,0.047457,0.021595,0.013012,0.025699,0.048582,nan,nan,nan,nan,nan,nan
29,7.500000e-04,0.047243,0.021524,0.012954,0.025528,0.048184,nan,nan,nan,nan,nan,nan
30,7.316480e-04,0.046976,0.021390,0.013095,0.024983,0.048662,0.3509,0.6667,0.2657,47.88,29.64,21.61
31,7.128896e-04,0.047062,0.021375,0.012853,0.025667,0.047007,nan,nan,nan,nan,nan,nan
32,6.937578e-04,0.046964,0.021341,0.012782,0.025682,0.047623,nan,nan,nan,nan,nan,nan
33,6.742860e-04,0.046598,0.021298,0.012811,0.024977,0.049315,nan,nan,nan,nan,nan,nan
34,6.545085e-04,0.046285,0.021123,0.012561,0.025200,0.048441,nan,nan,nan,nan,nan,nan
35,6.344599e-04,0.046952,0.021264,0.012938,0.025499,0.048897,0.3388,0.6667,0.1932,48.14,29.92,20.85
36,6.141754e-04,0.046055,0.021012,0.012491,0.025104,0.048544,nan,nan,nan,nan,nan,nan
37,5.936907e-04,0.045578,0.020798,0.012346,0.024869,0.047115,nan,nan,nan,nan,nan,nan
38,5.730415e-04,0.045311,0.020681,0.012196,0.024867,0.047493,nan,nan,nan,nan,nan,nan
39,5.522642e-04,0.045930,0.020902,0.012466,0.025124,0.048098,nan,nan,nan,nan,nan,nan
40,5.313953e-04,0.045145,0.020633,0.012171,0.024682,0.047239,0.3567,0.6812,0.2754,46.79,29.13,20.66
41,5.104712e-04,0.044862,0.020516,0.012165,0.024362,0.047087,nan,nan,nan,nan,nan,nan
42,4.895288e-04,0.044254,0.020251,0.011936,0.024134,0.046084,nan,nan,nan,nan,nan,nan
43,4.686047e-04,0.044383,0.020288,0.011840,0.024510,0.047358,nan,nan,nan,nan,nan,nan
44,4.477358e-04,0.044371,0.020228,0.011950,0.024385,0.046370,nan,nan,nan,nan,nan,nan
45,4.269585e-04,0.044258,0.020263,0.011927,0.024136,0.046283,0.3628,0.6763,0.2705,46.20,28.25,21.03
46,4.063093e-04,0.044130,0.020214,0.011794,0.024245,0.045138,nan,nan,nan,nan,nan,nan
47,3.858246e-04,0.043857,0.020023,0.011892,0.023885,0.046249,nan,nan,nan,nan,nan,nan
48,3.655401e-04,0.043846,0.020137,0.011749,0.023922,0.045097,nan,nan,nan,nan,nan,nan
49,3.454915e-04,0.043075,0.019721,0.011473,0.023760,0.045323,nan,nan,nan,nan,nan,nan
50,3.257140e-04,0.043005,0.019896,0.011492,0.023232,0.044606,0.3789,0.6715,0.3285,45.13,27.20,20.44
51,3.062422e-04,0.043421,0.019851,0.011612,0.023916,0.045175,nan,nan,nan,nan,nan,nan
52,2.871104e-04,0.043052,0.019823,0.011316,0.023826,0.044931,nan,nan,nan,nan,nan,nan
53,2.683520e-04,0.042976,0.019751,0.011527,0.023394,0.045277,nan,nan,nan,nan,nan,nan
54,2.500000e-04,0.042448,0.019569,0.011274,0.023210,0.044095,nan,nan,nan,nan,nan,nan
55,2.320866e-04,0.042554,0.019537,0.011202,0.023630,0.044022,0.3809,0.6763,0.3140,44.37,27.01,20.48
56,2.146432e-04,0.042313,0.019433,0.011174,0.023414,0.043745,nan,nan,nan,nan,nan,nan
57,1.977004e-04,0.041954,0.019267,0.011087,0.023198,0.044053,nan,nan,nan,nan,nan,nan
58,1.812880e-04,0.041820,0.019280,0.011085,0.022911,0.043781,nan,nan,nan,nan,nan,nan
59,1.654347e-04,0.041482,0.019069,0.011022,0.022781,0.043152,nan,nan,nan,nan,nan,nan
60,1.501683e-04,0.041298,0.019010,0.010877,0.022822,0.043161,0.3890,0.6812,0.3382,43.39,26.10,19.99
61,1.355157e-04,0.041299,0.019057,0.010944,0.022595,0.043503,nan,nan,nan,nan,nan,nan
62,1.215025e-04,0.041290,0.019079,0.010858,0.022704,0.043418,nan,nan,nan,nan,nan,nan
63,1.081533e-04,0.041326,0.019221,0.010768,0.022675,0.043802,nan,nan,nan,nan,nan,nan
64,9.549150e-05,0.041214,0.019030,0.010836,0.022695,0.043107,nan,nan,nan,nan,nan,nan
65,8.353938e-05,0.041379,0.019111,0.010892,0.022752,0.042950,0.3930,0.6957,0.3430,43.35,26.06,19.98
66,7.231787e-05,0.040859,0.019015,0.010647,0.022394,0.042876,nan,nan,nan,nan,nan,nan
67,6.184666e-05,0.040121,0.018646,0.010432,0.022086,0.042897,nan,nan,nan,nan,nan,nan
68,5.214412e-05,0.040334,0.018737,0.010492,0.022211,0.042522,nan,nan,nan,nan,nan,nan
69,4.322727e-05,0.039997,0.018626,0.010405,0.021930,0.042367,nan,nan,nan,nan,nan,nan
